rank,company,income,profit,nation
31,托克集团（TRAFIGURA GROUP),146994.3,1699.2,新加坡
32,中国人寿保险（集团）公司（CHINA LIFE INSURANCE),144589.1,4648.1,中国
33,微软（MICROSOFT),143015,44281,美国
34,嘉能可（GLENCORE),142338,-1903,瑞士
35,中国铁路工程集团有限公司（CHINA RAILWAY ENGINEERING GROUP),141383.6,1638.8,中国
36,沃博联（WALGREENS BOOTS ALLIANCE),139537,456,美国
37,EXOR集团（EXOR GROUP),136185.9,-34.2,荷兰
38,安联保险集团（ALLIANZ),136173.3,7756.2,德国
39,中国银行股份有限公司（BANK OF CHINA),134045.6,27952.1,中国
40,克罗格（KROGER),132498,2585,美国
41,家得宝（HOME DEPOT),132110,12866,美国
42,中国铁道建筑集团有限公司（CHINA RAILWAY CONSTRUCTION),131992.3,1485.5,中国
43,摩根大通公司（JPMORGAN CHASE),129503,29131,美国
44,华为投资控股有限公司（HUAWEI INVESTMENT & HOLDING),129183.5,9361.6,中国
45,威瑞森电信（VERIZON COMMUNICATIONS),128292,17801,美国
46,安盛（AXA),128011.4,3605.2,法国
47,福特汽车公司（FORD MOTOR),127144,-1279,美国
48,本田汽车（HONDA MOTOR),124240.6,6201.6,日本
49,通用汽车公司（GENERAL MOTORS),122485,6427,美国
50,Anthem公司（ANTHEM),121867,4572,美国
51,三菱商事株式会社（MITSUBISHI),121542.7,1627.7,日本
52,道达尔能源公司（TOTALENERGIES),119704,-7242,法国
53,德国电信（DEUTSCHE TELEKOM),115083.2,4737.8,德国
54,宝马集团（BMW GROUP),112794.1,4301.4,德国
55,日本电报电话公司（NIPPON TELEGRAPH AND TELEPHONE),112670.3,8642.6,日本
56,中国移动通信集团有限公司（CHINA MOBILE COMMUNICATIONS),111825.5,12920.1,中国
57,Centene公司（CENTENE),111115,1808,美国
58,日本邮政控股公司（JAPAN POST HOLDINGS),110561.3,3945.3,日本
59,京东集团股份有限公司（JD.COM),108087,7160.2,中国
60,上海汽车集团股份有限公司（SAIC MOTOR),107555.2,2961,中国
61,中国交通建设集团有限公司（CHINA COMMUNICATIONS CONSTRUCTION),106867.7,1165,中国
62,房利美（FANNIE MAE),106437,11805,美国
63,阿里巴巴集团控股有限公司（ALIBABA GROUP HOLDING),105865.7,22224,中国
64,美国康卡斯特电信公司（COMCAST),103564,10534,美国
65,中国五矿集团有限公司（CHINA MINMETALS),102014.8,491.1,中国
66,中国第一汽车集团有限公司（CHINA FAW GROUP),101075.8,2866.5,中国
67,恒力集团有限公司（HENGLI GROUP),100773.1,2372.7,中国
68,正威国际集团有限公司（AMER INTERNATIONAL GROUP),100280.5,1851.7,中国
69,中国华润有限公司（CHINA RESOURCES),99437.6,4330.2,中国
70,山东能源集团有限公司（SHANDONG ENERGY GROUP),97860.6,1161.9,中国
71,日本伊藤忠商事株式会社（ITOCHU),97753.1,3786.8,日本
72,中国宝武钢铁集团有限公司（CHINA BAOWU STEEL GROUP),97643.1,3628.7,中国
73,意大利忠利保险公司（ASSICURAZIONI GENERALI),97128.9,1987.2,意大利
74,中国邮政集团有限公司（CHINA POST GROUP),96304.1,4698.4,中国
75,雪佛龙（CHEVRON),94692,-5543,美国
76,戴尔科技公司（DELL TECHNOLOGIES),94224,3250,美国
77,美国银行（BANK OF AMERICA),93753,17894,美国
78,塔吉特公司（TARGET),93561,4368,美国
79,雀巢公司（NESTLÉ),89852.9,13031.1,瑞士
80,美国劳氏公司（LOWE'S),89597,5835,美国
81,马拉松原油公司（MARATHON PETROLEUM),88952,-9826,美国
82,花旗集团（CITIGROUP),88839,11047,美国
83,现代汽车（HYUNDAI MOTOR),88155.7,1207.5,韩国
84,俄罗斯天然气工业股份公司（GAZPROM),87870.4,1872,俄罗斯
85,东风汽车公司集团有限公司（DONGFENG MOTOR),86856.3,1115.5,中国
86,Facebook公司（FACEBOOK),85965,29146,美国
87,皇家阿霍德德尔海兹集团（ROYAL AHOLD DELHAIZE),85157.9,1591.8,荷兰
88,索尼（SONY),84893.1,11053.6,日本
89,联合包裹速递服务公司（UNITED PARCEL SERVICE),84628,1343,美国
90,中国人民保险集团股份有限公司（PEOPLE'S INSURANCE CO. OF CHINA),84290.4,2903.8,中国
91,中国南方电网有限责任公司（CHINA SOUTHERN POWER GRID),83699,998.6,中国
92,中国海洋石油集团有限公司（CHINA NATIONAL OFFSHORE OIL),83296.3,4802.4,中国
93,法国农业信贷银行（CRÉDIT AGRICOLE),82958.8,3067.4,法国
94,强生（JOHNSON & JOHNSON),82584,14714,美国
95,日立（HITACHI),82344.6,4731.8,日本
96,家乐福（CARREFOUR),82211.3,730.4,法国
97,法国巴黎银行（BNP PARIBAS),81632.4,8052.5,法国
98,博世集团（BOSCH GROUP),81463.8,360.1,德国
99,乐购（TESCO),81248,7948.4,英国
100,日本永旺集团（AEON),81227.8,-670.5,日本
101,国家能源投资集团有限责任公司（CHINA ENERGY INVESTMENT),80716.2,4102.1,中国
102,汇丰银行控股公司（HSBC HOLDINGS),80429,5229,英国
103,美国富国银行（WELLS FARGO),80303,3301,美国
104,通用电气公司（GENERAL ELECTRIC),79619,5704,美国
105,法国电力公司（ELECTRICITÉ DE FRANCE),78903.5,740.6,法国
106,州立农业保险公司（STATE FARM INSURANCE),78898,3738.9,美国
107,中国电力建设集团有限公司（POWERCHINA),78486.5,688.6,中国
108,英特尔公司（INTEL),77867,20899,美国
109,中国医药集团有限公司（SINOPHARM),77278.2,1258.7,中国
110,哈门那公司（HUMANA),77155,3367,美国
111,日本生命保险公司（NIPPON LIFE INSURANCE),76984.3,3127.2,日本
112,中粮集团有限公司（COFCO),76855.6,1377.6,中国
113,德国邮政敦豪集团（DEUTSCHE POST DHL GROUP),76122.1,3394.4,德国
114,三井物产株式会社（MITSUI),75562.4,3164.5,日本
115,中国中信集团有限公司（CITIC GROUP),74689.2,3842.5,中国
116,日产汽车（NISSAN MOTOR),74169.5,-4232.7,日本
117,慕尼黑再保险集团（MUNICH RE GROUP),74074.5,1379.9,德国
118,意大利国家电力公司（ENEL),74047.1,2974,意大利
119,第一生命控股有限公司（DAI-ICHI LIFE HOLDINGS),73841.5,3431.6,日本
120,西班牙国家银行（BANCO SANTANDER),73630.1,-9994.1,西班牙
121,国际商业机器公司（INTERNATIONAL BUSINESS MACHINES),73620,5590,美国
122,中国恒大集团（CHINA EVERGRANDE GROUP),73514,1170.4,中国
123,美国邮政（U.S. POSTAL SERVICE),73133,-9176,美国
124,北京汽车集团有限公司（BEIJING AUTOMOTIVE GROUP),72147.3,339.8,中国
125,卢克石油公司（LUKOIL),71856.2,209.9,俄罗斯
126,中国电信集团有限公司（CHINA TELECOMMUNICATIONS),71400.9,1886.1,中国
127,中国兵器工业集团有限公司（CHINA NORTH INDUSTRIES GROUP),71017.5,1510.9,中国
128,宝洁公司（PROCTER & GAMBLE),70950,13027,美国
129,SK集团（SK),70839.2,160.5,韩国
130,意昂集团（E.ON),70381.5,1158.8,德国
131,百事公司（PEPSICO),70372,7120,美国
132,腾讯控股有限公司（TENCENT HOLDINGS),69864.2,23166.2,中国
133,艾伯森公司（ALBERTSONS),69690.4,850.2,美国
134,巴斯夫公司（BASF),69464.3,-1207.8,德国
135,联邦快递（FEDEX),69217,1286,美国
136,大都会人寿（METLIFE),67842,5407,美国
137,交通银行股份有限公司（BANK OF COMMUNICATIONS),67605.5,11409.3,中国
138,晋能控股集团有限公司（JINNENG HOLDING GROUP),67534.8,8.2,中国
139,碧桂园控股有限公司（COUNTRY GARDEN HOLDINGS),67080.4,5075.6,中国
140,中国航空工业集团有限公司（AVIATION INDUSTRY CORP. OF CHINA),66964.1,915.7,中国
141,房地美（FREDDIE MAC),66228,7326,美国
142,绿地控股集团股份有限公司（GREENLAND HOLDING GROUP),66095.8,2173.6,中国
143,Phillips66公司（PHILLIPS 66),65494,-3975,美国
144,洛克希德－马丁（LOCKHEED MARTIN),65398,6833,美国
145,华特迪士尼公司（WALT DISNEY),65388,-2864,美国
146,ADM公司（ARCHER DANIELS MIDLAND),64355,1772,美国
147,瑞士罗氏公司（ROCHE GROUP),64285,15228.8,瑞士
148,厦门建发集团有限公司（XIAMEN C&D),64111.8,952.6,中国
149,太平洋建设集团有限公司（PACIFIC CONSTRUCTION GROUP),64037.7,2218.1,中国
150,西门子（SIEMENS),63935.5,4509.4,德国
151,中国中化集团有限公司（SINOCHEM),63544,809.1,中国
152,Engie集团（ENGIE),63525.4,-1750.2,法国
153,英国法通保险公司（LEGAL & GENERAL GROUP),63324.5,2061,英国
154,松下（PANASONIC),63191.3,1557.2,日本
155,信实工业公司（RELIANCE INDUSTRIES),62912.1,6619.4,印度
156,布鲁克菲尔德资产管理公司（BROOKFIELD ASSET MANAGEMENT),62752,-134,加拿大
157,英杰华集团（AVIVA),62579.3,3588.4,英国
158,中国太平洋保险(集团)股份有限公司（CHINA PACIFIC INSURANCE (GROUP)),61185.7,3562.9,中国
159,联想集团有限公司（LENOVO GROUP),60742.3,1178.3,中国
160,万科企业股份有限公司（CHINA VANKE),60740.7,6016.7,中国
161,中国化工集团有限公司（CHEMCHINA),60491.9,-815.6,中国
162,招商银行股份有限公司（CHINA MERCHANTS BANK),60433.2,14107.5,中国
163,招商局集团有限公司（CHINA MERCHANTS GROUP),60280.7,5919.4,中国
164,瓦莱罗能源公司（VALERO ENERGY),60115,-1421,美国
165,丸红株式会社（MARUBENI),59735.2,2125.7,日本
166,引能仕控股株式会社（ENEOS HOLDINGS),59540,1075.4,日本
167,丰田通商公司（TOYOTA TSUSHO),59517.1,1269.7,日本
168,苏黎世保险集团（ZURICH INSURANCE GROUP),59001,3834,瑞士
169,宏利金融（MANULIFE FINANCIAL),58840.4,4377.9,加拿大
170,物产中大集团股份有限公司（WUCHAN ZHONGDA GROUP),58545.7,397.9,中国
171,厦门国贸控股集团有限公司（XIAMEN ITG HOLDING GROUP),58279,285.8,中国
172,荷兰全球保险集团（AEGON),58211.1,-166.4,荷兰
173,波音（BOEING),58158,-11873,美国
174,中国保利集团有限公司（CHINA POLY GROUP),58072.3,1949.4,中国
175,联合利华（UNILEVER),57797.4,6359.3,英国
176,广州汽车工业集团有限公司（GUANGZHOU AUTOMOBILE INDUSTRY GROUP),57723.9,576.2,中国
177,中国建材集团有限公司（CHINA NATIONAL BUILDING MATERIAL GROUP),57115.3,103,中国
178,保德信金融集团（PRUDENTIAL FINANCIAL),57033,-374,美国
179,空中客车公司（AIRBUS),56872.2,-1291,荷兰
180,三菱日联金融集团（MITSUBISHI UFJ FINANCIAL GROUP),56838.4,7329.8,日本
181,巴西国家石油公司（PETROBRAS),56683,1141,巴西
182,惠普公司（HP),56639,2844,美国
183,雷神技术公司（RAYTHEON TECHNOLOGIES),56587,-3519,美国
184,软银集团（SOFTBANK GROUP),56213.6,47052.6,日本
185,英国保诚集团（PRUDENTIAL),55973,2118,英国
186,富腾公司（FORTUM),55850.1,2077.2,芬兰
187,东京电力公司（TOKYO ELECTRIC POWER),55343.1,1706.4,日本
188,Seven&I控股公司（SEVEN & I HOLDINGS),54442.4,1692.4,日本
189,厦门象屿集团有限公司（XMXYG),54323.9,279,中国
190,StoneX集团（STONEX GROUP),54139.6,169.6,美国
191,AlimentationCouche-Tard公司（ALIMENTATION COUCHE-TARD),54132.4,2353.6,加拿大
192,LG电子（LG ELECTRONICS),53625.4,1668.5,韩国
193,高盛（GOLDMAN SACHS GROUP),53498,9459,美国
194,中国光大集团股份公司（CHINA EVERBRIGHT GROUP),53429,2570.9,中国
195,俄罗斯石油公司（ROSNEFT OIL),53375.8,2033.2,俄罗斯
196,兴业银行股份有限公司（INDUSTRIAL BANK),53313.9,9655.9,中国
197,安赛乐米塔尔（ARCELORMITTAL),53270,-733,卢森堡
198,中国铝业集团有限公司（ALUMINUM CORP. OF CHINA),53191.2,320.9,中国
199,西斯科公司（SYSCO),52893.3,215.5,美国
200,河钢集团有限公司（HBIS GROUP),52760.7,5.7,中国
201,上海浦东发展银行股份有限公司（SHANGHAI PUDONG DEVELOPMENT BANK),52628.3,8443.6,中国
202,巴西JBS公司（JBS),52429,892.2,巴西
203,法国兴业银行（SOCIÉTÉ GÉNÉRALE),52068.3,-294,法国
204,摩根士丹利（MORGAN STANLEY),52047,10996,美国
205,印度国家银行（STATE BANK OF INDIA),51919.4,3018.9,印度
206,泰国国家石油有限公司（PTT),51647.5,1207.2,泰国
207,HCA医疗保健公司（HCA HEALTHCARE),51533,3754,美国
208,东京海上日动火灾保险公司（TOKIO MARINE HOLDINGS),51516.7,1526.3,日本
209,沃达丰集团（VODAFONE GROUP),51054.5,130.5,英国
210,迪奥公司（CHRISTIAN DIOR),50877.6,2202.6,法国
211,丰益国际（WILMAR INTERNATIONAL),50526.8,1534.1,新加坡
212,印度石油公司（INDIAN OIL),50433,2915.5,印度
213,友邦保险集团有限公司（AIA GROUP),50359,5779,中国
214,万喜集团（VINCI),50270.2,1415.2,法国
215,起亚公司（KIA),50155.1,1261,韩国
216,埃尼石油公司（ENI),50121,-9839.1,意大利
217,日本KDDI电信公司（KDDI),50115,6145.7,日本
218,诺华公司（NOVARTIS),49898,8072,瑞士
219,雷诺（RENAULT),49536.4,-9124.7,法国
220,陕西煤业化工集团有限责任公司（SHAANXI COAL & CHEMICAL INDUSTRY),49314.3,120.8,中国
221,思科公司（CISCO SYSTEMS),49301,11214,美国
222,韩国电力公司（KOREA ELECTRIC POWER),49102,1688,韩国
223,西班牙电话公司（TELEFÓNICA),49082.9,1802.6,西班牙
224,中国民生银行股份有限公司（CHINA MINSHENG BANKING),49076,4972.3,中国
225,江西铜业集团有限公司（JIANGXI COPPER),48820.1,194.7,中国
226,韩国浦项制铁公司（POSCO),48712.8,1340.3,韩国
227,拜耳集团（BAYER),48483.6,-11958.5,德国
228,加拿大鲍尔集团（POWER CORP. OF CANADA),48183.1,1525.7,加拿大
229,Orange公司（ORANGE),48164.5,5494.4,法国
230,特许通讯公司（CHARTER COMMUNICATIONS),48097,3222,美国
231,中国远洋海运集团有限公司（CHINA COSCO SHIPPING),47998.3,1471.2,中国
232,默沙东（MERCK),47994,7067,美国
233,ELO集团（ELO GROUP),47607.3,772.5,法国
234,陕西延长石油（集团）有限责任公司（SHAANXI YANCHANG PETROLEUM (GROUP)),47529.1,160.7,中国
235,和硕（PEGATRON),47517.9,686.2,中国
236,百威英博（ANHEUSER-BUSCH INBEV),47358,1405,比利时
237,美洲电信（AMÉRICA MÓVIL),47326,2180.5,墨西哥
238,百思买（BEST BUY),47262,1798,美国
239,浙江吉利控股集团有限公司（ZHEJIANG GEELY HOLDING GROUP),47191,1352.3,中国
240,中国船舶集团有限公司（CHINA STATE SHIPBUILDING),46844.6,1874.6,中国
241,Talanx公司（TALANX),46788.1,766.8,德国
242,美国纽约人寿保险公司（NEW YORK LIFE INSURANCE),46712.4,-822.3,美国
243,印度石油天然气公司（OIL & NATURAL GAS),46597.1,2189.3,印度
244,电装公司（DENSO),46569.3,1179.7,日本
245,MS&AD保险集团控股有限公司（MS&AD INSURANCE GROUP HOLDINGS),46149.7,1362.1,日本
246,Equinor公司（EQUINOR),45818,-5510,挪威
247,艾伯维（ABBVIE),45804,4616,美国
248,中国华能集团有限公司（CHINA HUANENG GROUP),45750.4,312.4,中国
249,日本制铁集团公司（NIPPON STEEL CORPORATION),45555.7,-305.9,日本
250,加拿大皇家银行（ROYAL BANK OF CANADA),45508.8,8496.9,加拿大
251,台积公司（TAIWAN SEMICONDUCTOR MANUFACTURING),45477.8,17343.6,中国
252,德国联邦铁路公司（DEUTSCHE BAHN),45465.2,-6476.6,德国
253,大众超级市场公司（PUBLIX SUPER MARKETS),45204,3971.8,美国
254,好事达（ALLSTATE),44791,5576,美国
255,浙江荣盛控股集团有限公司（ZHEJIANG RONGSHENG HOLDING GROUP),44725.9,626.5,中国
256,力拓集团（RIO TINTO GROUP),44611,9769,英国
257,墨西哥石油公司（PEMEX),44383.6,-23683.3,墨西哥
258,埃森哲（ACCENTURE),44327,5107.8,爱尔兰
259,德国艾德卡公司（EDEKA ZENTRALE),44158.6,315.4,德国
260,中国联合网络通信股份有限公司（CHINA UNITED NETWORK COMMUNICATIONS),44034.4,800.2,中国
261,住友商事（SUMITOMO),43817.9,-1443.9,日本
262,美国利宝互助保险集团（LIBERTY MUTUAL INSURANCE GROUP),43796,758,美国
263,美国国际集团（AMERICAN INTERNATIONAL GROUP),43736,-5944,美国
264,英国葛兰素史克公司（GLAXOSMITHKLINE),43731.8,7373.1,英国
265,法国BPCE银行集团（GROUPE BPCE),43475.7,1834.5,法国
266,圣戈班集团（SAINT-GOBAIN),43444.9,519.6,法国
267,英国劳埃德银行集团（LLOYDS BANKING GROUP),43440.7,1690.3,英国
268,瑞士再保险股份有限公司（SWISS RE),43338,-878,瑞士
269,俄罗斯联邦储蓄银行（SBERBANK),43263.6,10527.2,俄罗斯
270,泰森食品（TYSON FOODS),43185,2061,美国
271,韩华集团（HANWHA),43168.9,181.2,韩国
272,德国大陆集团（CONTINENTAL),42982.7,-1096,德国
273,必和必拓集团（BHP GROUP),42931,7956,澳大利亚
274,伍尔沃斯集团（WOOLWORTHS GROUP),42677.8,780.8,澳大利亚
275,前进保险公司（PROGRESSIVE),42658.1,5704.6,美国
276,赛诺菲（SANOFI),42580.1,14031.2,法国
277,马来西亚国家石油公司（PETRONAS),42562.5,-5679.5,马来西亚
278,百时美施贵宝公司（BRISTOL-MYERS SQUIBB),42518,-9015,美国
279,青山控股集团有限公司（TSINGSHAN HOLDING GROUP),42448.1,1129.3,中国
280,美国全国保险公司（NATIONWIDE),41929.8,-138.4,美国
281,辉瑞制药有限公司（PFIZER),41908,9616,美国
282,山东魏桥创业集团有限公司（SHANDONG WEIQIAO PIONEERING GROUP),41878.8,1236,中国
283,卡特彼勒（CATERPILLAR),41748,2998,美国
284,中国机械工业集团有限公司（SINOMACH),41712,570.9,中国
285,美国教师退休基金会（TIAA),41619.3,558.1,美国
286,英格卡集团（INGKA GROUP),41580.4,1323,荷兰
287,印尼国家石油公司（PERTAMINA),41469.5,1051.1,印度尼西亚
288,美的集团股份有限公司（MIDEA GROUP),41407.1,3945.3,中国
289,邦吉公司（BUNGE),41404,1145,美国
290,费森尤斯集团（FRESENIUS),41335.8,1945,德国
291,意大利联合圣保罗银行（INTESA SANPAOLO),41258.3,3734,意大利
292,乔治威斯顿公司（GEORGE WESTON),40792.6,718.1,加拿大
293,国家电力投资集团有限公司（STATE POWER INVESTMENT),40322.8,343.8,中国
294,巴西淡水河谷公司（VALE),40018,4881,巴西
295,西班牙ACS集团（ACS),39967.2,654,西班牙
296,多伦多道明银行（TORONTO-DOMINION BANK),39899.5,8841,加拿大
297,马士基集团（MAERSK GROUP),39740,2850,丹麦
298,蒂森克虏伯（THYSSENKRUPP),39658.8,10725.1,德国
299,法国布伊格集团（BOUYGUES),39607.3,793.1,法国
300,三菱电机股份有限公司（MITSUBISHI ELECTRIC),39538.8,1821.9,日本
301,中国能源建设集团有限公司（CHINA ENERGY ENGINEERING GROUP),39439,507.6,中国
302,瑞银集团（UBS GROUP),39298,6557,瑞士
303,Finatis公司（FINATIS),39197.1,-211.9,法国
304,甲骨文公司（ORACLE),39068,10135,美国
305,EnergyTransfer公司（ENERGY TRANSFER),38954,-648,美国
306,大和房建（DAIWA HOUSE INDUSTRY),38928.8,1840.2,日本
307,中国航天科技集团有限公司（CHINA AEROSPACE SCIENCE & TECHNOLOGY),38741.9,2735.1,中国
308,江苏沙钢集团有限公司（JIANGSU SHAGANG GROUP),38664.5,1144.5,中国
309,浙江恒逸集团有限公司（ZHEJIANG HENGYI GROUP),38561.7,152,中国
310,陶氏公司（DOW),38542,1225,美国
311,盛虹控股集团有限公司（SHENGHONG HOLDING GROUP),38440,519.8,中国
312,美国运通公司（AMERICAN EXPRESS),38185,3135,美国
313,日本明治安田生命保险公司（MEIJI YASUDA LIFE INSURANCE),38003.6,1780.4,日本
314,森宝利公司（J. SAINSBURY),37943.5,-365.7,英国
315,安徽海螺集团有限责任公司（ANHUI CONCH GROUP),37929.8,1878.4,中国
316,通用动力（GENERAL DYNAMICS),37925,3167,美国
317,德意志银行（DEUTSCHE BANK),37852.5,550.4,德国
318,日本出光兴产株式会社（IDEMITSU KOSAN),37792.3,329.4,日本
319,Iberdrola公司（IBERDROLA),37767,4114.6,西班牙
320,中国航天科工集团有限公司（CHINA AEROSPACE SCIENCE & INDUSTRY),37697,1955,中国
321,耐克公司（NIKE),37403,2539,美国
322,伊塔乌联合银行控股公司（ITAÚ UNIBANCO HOLDING),37279.7,3666.5,巴西
323,采埃孚（ZF FRIEDRICHSHAFEN),37158.6,-940,德国
324,广达电脑公司（QUANTA COMPUTER),37042.9,860.1,中国
325,日本三井住友金融集团（SUMITOMO MITSUI FINANCIAL GROUP),36811.4,4837.5,日本
326,美国诺斯洛普格拉曼公司（NORTHROP GRUMMAN),36799,3189,美国
327,沃尔沃集团（VOLVO),36754.3,2097.9,瑞典
328,苏宁易购集团股份有限公司（SUNING.COM GROUP),36564.5,-619.5,中国
329,麦德龙（METRO),36524.7,514.7,德国
330,联合服务汽车协会（UNITED SERVICES AUTOMOBILE ASSN.),36296.2,3906.9,美国
331,损保控股有限公司（SOMPO HOLDINGS),36283.3,1344.1,日本
332,阳光龙净集团有限公司（YANGO LONGKING GROUP),36263.9,540.2,中国
333,安达保险公司（CHUBB),35994,3533,瑞士
334,中国电子信息产业集团有限公司（CHINA ELECTRONICS),35930.9,-97.2,中国
335,贺利氏控股集团（HERAEUS HOLDING),35929.1,-,德国
336,金川集团股份有限公司（JINCHUAN GROUP),35907.1,360.4,中国
337,西班牙对外银行（BANCO BILBAO VIZCAYA ARGENTARIA),35872.1,1487,西班牙
338,小米集团（XIAOMI),35632.6,2950.1,中国
339,仁宝电脑（COMPAL ELECTRONICS),35619.1,317.9,中国
340,迪尔公司（DEERE),35540,2751,美国
341,法国邮政（LA POSTE),35533.7,2374.6,法国
342,德国中央合作银行（DZ BANK),35498.4,993.6,德国
343,泰康保险集团股份有限公司（TAIKANG INSURANCE GROUP),35475.6,3483.6,中国
344,中国太平保险集团有限责任公司（CHINA TAIPING INSURANCE GROUP),35460.5,415.1,中国
345,巴克莱（BARCLAYS),35404.6,3056.2,英国
346,国泰金融控股股份有限公司（CATHAY FINANCIAL HOLDING),35123.5,2532.5,中国
347,日本三菱重工业股份有限公司（MITSUBISHI HEAVY INDUSTRIES),34902.5,383.4,日本
348,RajeshExports公司（RAJESH EXPORTS),34804.8,113.9,印度
349,中国中车集团有限公司（CRRC GROUP),34778.2,748,中国
350,雅培公司（ABBOTT LABORATORIES),34608,4495,美国
351,中国兵器装备集团有限公司（CHINA SOUTH INDUSTRIES GROUP),34454.6,852.6,中国
352,中国华电集团有限公司（CHINA HUADIAN),34440,584.8,中国
353,长江和记实业有限公司（CK HUTCHISON HOLDINGS),34347.1,3757.5,中国
354,中国电子科技集团有限公司（CHINA ELECTRONICS TECHNOLOGY GROUP),34311.4,1879.6,中国
355,意大利邮政集团（POSTE ITALIANE),34205.1,1375.3,意大利
356,法国国营铁路集团（SNCF GROUP),34155,-3452.5,法国
357,印度塔塔汽车公司（TATA MOTORS),34012.8,-1812.4,印度
358,富士通（FUJITSU),33862.5,1912.1,日本
359,雪松控股集团有限公司（CEDAR HOLDINGS GROUP),33837,49.6,中国
360,西北互助人寿保险公司（NORTHWESTERN MUTUAL),33782.1,425,美国
361,DollarGeneral公司（DOLLAR GENERAL),33746.8,2655.1,美国
362,路易达孚集团（LOUIS DREYFUS),33564,382,荷兰
363,上海建工集团股份有限公司（SHANGHAI CONSTRUCTION GROUP),33525.6,485.6,中国
364,融创中国控股有限公司（SUNAC CHINA HOLDINGS),33418.4,5165.8,中国
365,爱信（AISIN),33259.7,996.5,日本
366,KB金融集团（KB FINANCIAL GROUP),33201.2,2928.8,韩国
367,住友生命保险公司（SUMITOMO LIFE INSURANCE),33183.4,254.4,日本
368,英美烟草集团（BRITISH AMERICAN TOBACCO),33057.6,8208,英国
369,Exelon公司（EXELON),33039,1963,美国
370,可口可乐公司（COCA-COLA),33014,7747,美国
371,中国核工业集团有限公司（CHINA NATIONAL NUCLEAR),32662.8,1188.3,中国
372,怡和集团（JARDINE MATHESON),32647,-394,中国
372,麦格纳国际（MAGNA INTERNATIONAL),32647,757,加拿大
374,霍尼韦尔国际公司（HONEYWELL INTERNATIONAL),32637,4779,美国
375,敬业集团有限公司（JINGYE GROUP),32528.2,607.3,中国
376,加拿大丰业银行（BANK OF NOVA SCOTIA),32501.1,5037.8,加拿大
377,菲尼克斯医药公司（PHOENIX PHARMA),32386.9,221.3,德国
378,瑞士信贷（CREDIT SUISSE GROUP),32343.3,2843.4,瑞士
379,加拿大永明金融集团（SUN LIFE FINANCIAL),32315.7,1862.7,加拿大
380,赛默飞世尔科技公司（THERMO FISHER SCIENTIFIC),32218,6375,美国
381,雷普索尔公司（REPSOL),32188.3,-3747.6,西班牙
382,3M公司（3M),32184,5384,美国
383,TJX公司（TJX),32137,90.5,美国
384,山东钢铁集团有限公司（SHANDONG IRON & STEEL GROUP),31990.3,129.4,中国
385,Travelers公司（TRAVELERS),31981,2697,美国
386,Migros集团（MIGROS GROUP),31903.3,1882.4,瑞士
387,欧莱雅（L'ORÉAL),31895.6,4060.3,法国
388,富邦金融控股股份有限公司（FUBON FINANCIAL HOLDING),31837.8,3065.4,中国
389,第一资本金融公司（CAPITAL ONE FINANCIAL),31643,2714,美国
390,新希望控股集团有限公司（NEW HOPE HOLDING GROUP),31605.7,515.4,中国
391,荷兰国际集团（ING GROUP),31604.9,2563.8,荷兰
392,特斯拉（TESLA),31536,721,美国
